Evaluation Results
==================


NDCG@5 Results:
Mean: 0.2817
Per-query results:
  Query 312215: 0.2183
  Query 3155314: 0.3649
  Query 3206998: 0.4020
  Query 3239329: 0.3068
  Query 3269759: 0.3477
  Query 3278654: 0.4492
  Query 3280768: 0.1592
  Query 3295055: 0.3743
  Query 3301173: 0.2974
  Query 3313308: 0.2528
  Query 3363149: 0.0714
  Query 3369088: 0.1738
  Query 3382736: 0.5442
  Query 3385681: 0.2929
  Query 3389038: 0.2680
  Query 3396066: 0.1282
  Query 34041: 0.0841
  Query 3411123: 0.1037
  Query 3496147: 0.0495
  Query 3499881: 0.5253
  Query 3507491: 0.0622
  Query 354733: 0.3178
  Query 3552010: 0.0968
  Query 3554263: 0.4080
  Query 3559048: 0.3369
  Query 3577501: 0.1740
  Query 3639660: 0.4462
  Query 3640705: 0.1548
  Query 3698636: 0.1000
  Query 3714728: 0.4378
  Query 3723508: 0.3309
  Query 3778229: 0.2301
  Query 3825386: 0.0706
  Query 3872395: 0.1629
  Query 3874326: 0.3044
  Query 387874: 0.1360
  Query 3910925: 0.0815
  Query 3960080: 0.2201
  Query 3971195: 0.4868
  Query 3990512: 0.0000
  Query 4003223: 0.4079
  Query 4012558: 0.2392
  Query 4018891: 0.1691
  Query 402514: 0.0462
  Query 4126337: 0.4028
  Query 4153592: 0.0709
  Query 4165406: 0.2949
  Query 4185395: 0.1535
  Query 4185501: 0.0386
  Query 4190287: 0.3644
  Query 4196421: 0.5913
  Query 4197214: 0.2557
  Query 421753: 0.4154
  Query 4250296: 0.1159
  Query 4256593: 0.2336
  Query 4278201: 0.4757
  Query 4283542: 0.1732
  Query 4288761: 0.1286
  Query 4311093: 0.3691
  Query 4357460: 0.4773
  Query 4365565: 0.3078
  Query 4367654: 0.1213
  Query 4372730: 0.0000
  Query 4377861: 0.6605
  Query 4385316: 0.2619
  Query 4406669: 0.3510
  Query 443848: 0.5280
  Query 4448097: 0.5357
  Query 4462511: 0.1406
  Query 4467100: 0.0810
  Query 4473137: 0.1889
  Query 4473331: 0.2733
  Query 456214: 0.2991
  Query 474417: 0.4944
  Query 481173: 0.6332
  Query 484496: 0.1943
  Query 551239: 0.3147
  Query 558570: 0.0000
  Query 654124: 0.1291
  Query 667488: 0.6887
  Query 676028: 0.5707
  Query 707303: 0.1786
  Query 714612: 0.1667
  Query 746920: 0.3404
  Query 761742: 0.6348
  Query 765138: 0.5284
  Query 785823: 0.0693
  Query 78762: 0.0000
  Query 788976: 0.0000
  Query 821387: 0.1900
  Query 823384: 0.4357
  Query 8293: 0.4636
  Query 849221: 0.2400
  Query 851124: 0.4970
  Query 896725: 0.1783
  Query 922849: 0.1282
  Query 949154: 0.3061
  Query 953489: 0.0331

NDCG@20 Results:
Mean: 0.2602
Per-query results:
  Query 100653: 0.3092
  Query 1015624: 0.3367
  Query 1017690: 0.4806
  Query 1035857: 0.3264
  Query 103830: 0.1261
  Query 1063812: 0.1979
  Query 1077370: 0.6655
  Query 1082595: 0.3927
  Query 1119420: 0.2409
  Query 1152934: 0.1578
  Query 1167882: 0.1202
